Metropolitan,Gender,Family_num,Elder_Household,GrandChild_Household,Single_Household,Multi_Household,Disability_status,Master_EduCode,Master_WithLive,Master_IndustryCode,Manster_Jobcode,Master_Age,Master_EmpCode,Master_MarriCode,Tenancy_Type,Housing_Type,Debt_Holding,Income_code,Assets,Liabilities,Principal_Interest,Spend_Consum,Spend_NonConsum,Master_Retired
1,2,1,1,0,0,0,0,1,1,20,4,5,2,3,2,1,0,2,5700,0,0,1175,121,1
1,1,2,0,0,0,0,0,3,2,3,5,5,1,2,2,4,0,3,13720,0,0,2790,425,1
1,2,1,0,0,0,0,0,3,1,18,2,2,1,1,3,3,0,3,1410,0,110,1210,109,1
0,2,1,1,0,0,0,0,1,1,17,9,5,2,3,1,1,1,2,16800,300,0,1222,27,1
0,1,1,0,0,0,0,0,3,1,3,9,4,1,1,1,3,1,4,17000,9000,178,1466,614,1
0,2,2,1,0,0,0,0,3,2,22,11,5,4,2,1,2,0,3,74588,0,0,2199,164,2
1,1,5,0,0,0,0,0,4,2,10,2,4,1,2,1,2,0,9,96250,0,0,4810,1346,1
1,2,1,1,0,0,0,0,3,1,22,11,5,4,3,1,2,0,1,32050,0,0,1362,67,1
1,1,2,1,0,0,0,0,4,2,22,11,5,4,2,4,2,0,2,6300,0,0,1700,102,2
1,1,4,0,0,0,0,0,4,2,10,2,3,1,2,1,3,0,8,95200,0,0,4870,1622,1
1,2,1,1,0,0,0,0,3,1,22,11,5,4,3,1,2,0,2,104070,0,0,873,121,1
0,2,1,0,0,0,0,0,1,1,22,11,5,4,4,3,1,0,1,330,0,0,985,0,2
0,1,3,0,0,0,0,0,3,2,3,7,3,1,2,1,2,1,4,24321,12440,1022,1455,619,1
0,2,1,0,0,0,0,0,2,1,22,11,5,4,4,1,2,0,1,10950,0,0,551,12,2
0,2,1,1,0,0,0,0,1,1,22,11,5,4,3,1,2,1,1,26850,500,0,1185,166,2
1,2,3,0,0,0,0,0,4,2,16,2,4,3,3,1,2,1,7,120780,1100,0,5060,808,1
1,1,2,1,0,0,0,0,3,2,22,11,5,4,2,3,2,0,3,16660,0,0,2220,230,2
1,1,3,0,0,0,0,0,3,2,6,7,5,1,2,1,3,1,8,48440,30,50,1664,1049,1
1,1,3,0,0,0,0,0,3,2,7,9,4,1,1,1,1,1,6,101100,13000,0,2040,754,1
1,2,1,0,0,0,0,0,4,1,10,3,2,1,1,3,4,0,3,5070,0,0,2346,309,1
1,2,1,0,0,0,0,0,4,1,7,5,2,1,1,3,1,1,2,16360,12000,1105,2270,633,1
0,2,1,0,0,0,0,0,2,1,9,9,5,2,4,1,2,1,3,20500,4000,740,1222,215,1
0,2,2,1,0,0,0,0,1,2,22,11,5,4,2,1,1,0,2,6545,0,0,1090,182,1
0,2,1,1,0,0,0,0,1,1,22,11,5,4,3,3,1,0,1,532,0,0,686,80,2
0,2,1,0,0,0,0,0,3,1,17,4,5,2,4,1,3,0,4,10492,0,0,1733,166,1
0,1,4,0,0,0,0,0,4,2,19,2,3,1,2,1,2,1,5,25260,2376,190,3290,673,1
1,1,4,0,0,0,0,0,3,2,3,8,4,3,2,3,3,0,8,8810,0,0,3727,638,1
1,1,2,0,0,0,0,0,1,2,9,9,4,1,2,3,1,0,7,1900,0,0,2680,893,1
1,1,1,0,0,0,0,0,4,1,12,2,2,3,4,3,4,0,6,81200,0,0,3352,335,1
1,2,1,0,0,0,0,0,4,1,19,4,2,3,1,3,1,1,3,11100,460,0,2884,185,1
1,2,1,0,0,0,0,0,4,1,7,2,2,1,1,2,1,0,4,10500,0,0,1656,508,1
1,2,1,0,0,0,0,0,2,1,12,9,4,1,4,3,1,0,3,13040,0,0,1948,372,1
0,1,2,1,0,0,0,1,3,2,22,11,5,4,2,1,3,0,2,4340,0,0,1402,7,2
0,1,2,0,0,0,0,0,4,2,8,3,1,1,2,2,2,1,7,17820,13000,153,3480,835,1
0,1,5,0,0,0,1,0,2,2,22,11,5,4,2,1,1,1,5,66290,5000,0,3676,1576,2
0,2,1,0,0,0,0,0,2,1,9,4,5,3,4,2,4,1,2,4850,1000,35,1064,169,1
0,2,2,0,0,0,0,0,1,2,22,11,5,4,3,1,1,1,5,12015,3000,0,2138,276,1
0,1,2,1,0,0,0,0,2,2,22,11,5,4,2,3,1,0,2,1800,0,0,970,11,2
1,2,1,0,0,0,0,0,4,1,9,2,1,1,1,3,1,1,3,2950,2000,0,1761,146,1
